County,County Seat,License Plate Prefix
Sheridan,Plentywood,34
Rosebud,Forsyth,29
Treasure,Hysham,33
Golden Valley,Ryegate,53
Ravalli,Hamilton,13
Carbon,Red Lodge,10
Dawson,Glendive,16
Custer,Miles City,14
Garfield,Jordan,50
Wheatland,Harlowton,44
Richland,Sidney,27
Valley,Glasgow,20
Petroleum,Winnett,55
Fergus,Lewistown,8
Liberty,Chester,48
Butte-Silver Bow,Butte,1
Broadwater,Townsend,43
Fallon,Baker,39
Toole,Shelby,21
Judith Basin,Stanford,36
Prairie,Terry,45
Mccone,Circle,41
Musselshell,Roundup,23
Lincoln,Libby,56
Stillwater,Columbus,32
Roosevelt,Wolf Point,17
Jefferson,Boulder,51
Missoula,Missoula,4
Cascade,Great Falls,2
Anaconda-Deer Lodge,Anaconda,30
Lake,Polson,15
Yellowstone,Billings,3
Lewis & Clark,Helena,5
Meagher,White Sulphur Springs,47
Gallatin,Bozeman,6
Big Horn,Hardin,22
Powder River,Broadus,9
Lewis & Clark,Superawesomecity,5
Madison,Virginia City,25
Sanders,Thompson Falls,35
Teton,Choteau,31
Chouteau,Fort Benton,19
Powell,Deer Lodge,28
Phillips,Malta,11
Glacier,Cut Bank,38
Sweet Grass,Big Timber,40
Pondera,Conrad,26
Mineral,Superior,54
Wibaux,Wibaux,52
Carter,Ekalaka,42
Daniels,Scobey,37
Park,Livingston,49
Flathead,Kalispell,7
Hill,Havre,12
Beaverhead,Dillon,18
Blaine,Chinook,24
Granite,Philipsburg,46
